solved edge br corner on side + U,R' U R U2 R' U R,""
solved edge bl corner in back,U' L U2 L' U L U L',""
solved edge bl corner in back + U',U2 L U2 L' U L U L',L U L' U2 L U L'
solved edge bl corner in back + U2,U L U2 L' U L U L',""
solved edge bl corner in back + U,L U2 L' U L U L',""
solved edge bl corner on side,U' L U' L' U2 L U' L',""
solved edge bl corner on side + U',U2 L U' L' U2 L U' L',""
solved edge bl corner on side + U2,U L U' L' U2 L U' L',""
solved edge bl corner on side + U,L U' L' U2 L U' L',""
free pair fr misoriented,U' y L' U L,"U' y L' U L,y' U' R' U R,F R' F' R,Rw U R' U' M"
free pair fr misoriented + U',y L' U L,"Rw U' Rw' U Rw U Rw',y' R' U R"
free pair fr misoriented + U2,U y L' U L,Lw R U' R' U Lw'
free pair fr misoriented + U,U Lw R U' R' U Lw',U2 y L' U L
free pair fr oriented,U R U' R',""
free pair fr oriented + U',U2 R U' R',""
free pair fr oriented + U2,R U2 R',U' R U' R'
free pair fr oriented + U,R U' R',""
free pair fl misoriented,U Lw' U Lw U' Lw' U' Lw,Dw R U' R'
free pair fl misoriented + U',Lw' U Lw U' Lw' U' Lw,y' R U' R'
free pair fl misoriented + U2,U' Lw' U Lw U' Lw' U' Lw,Rw' L' U L U' Rw
free pair fl misoriented + U,U2 Lw' U Lw U' Lw' U' Lw,""
free pair fl oriented,U' L' U L,""
free pair fl oriented + U',U2 L' U L,""
free pair fl oriented + U2,L' U2 L,U L' U L
free pair fl oriented + U,L' U L,""
free pair br misoriented,y U R U' R',"Rw' U' R U M',Dw L U' L',U y R U' R'"
free pair br misoriented + U',y U2 R U' R',"Dw' R U2 R',U' R2 F R F' R"
free pair br misoriented + U2,y U' R U' R',"U' y R U' R',R2 F R F' R"
free pair br misoriented + U,y R U' R',Rw' U Rw U' Rw' U' Rw
free pair br oriented,U' R' U R,""
free pair br oriented + U',R' U R,""
free pair br oriented + U2,R' U2 R,U R' U R
free pair br oriented + U,U2 R' U R,""
free pair bl misoriented,y' U' L' U L,"y U' R' U R,U' Lw U' Lw' U Lw U Lw',Lw U L' U' M'"
free pair bl misoriented + U',y' U2 L' U L,"U2 Lw U' Lw' U Lw U Lw',y U2 R' U R"
free pair bl misoriented + U2,Dw L' U L,U Lw U' Lw' U Lw U Lw'
free pair bl misoriented + U,Lw U' Lw' U Lw U Lw',""
